"sno (N)","city (S)","competition (S)","date (S)","gender (S)","match_referee (S)","season (S)","team0 (S)","team1 (S)","toss_decision (S)","toss_winner (S)","umpire (S)","venue (S)","player_of_match (S)","tv_umpire (S)","winner (S)","match_number (S)","umpire13 (S)","reserve_umpire (S)","winner_wickets (S)","winner_runs (S)","neutralvenue (S)","1 (S)","reserve_umpire13 (S)","outcome (S)"
"172","Mumbai","Indian Premier League","2010/04/24","male","S Venkataraghavan","2009/10","Royal Challengers Bangalore","Deccan Chargers","bat","Deccan Chargers","SJA Taufel","Dr DY Patil Sports Academy","A Kumble","S Ravi","Royal Challengers Bangalore",,,,"9",,,"0.1","SN Bandekar",
"379","Mumbai","Indian Premier League","2013/05/13","male","RR Jadeja","2013","Mumbai Indians","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","AK Chaudhary","Wankhede Stadium","KA Pollard","Asad Rauf","Mumbai Indians","62","SJA Taufel","RM Deshpande","7",,,,,
"440","Kolkata","Indian Premier League","2015/04/08","male","J Srinath","2015","Kolkata Knight Riders","Mumbai Indians","field","Kolkata Knight Riders","S Ravi","Eden Gardens","M Morkel","PG Pathak","Kolkata Knight Riders","1","C Shamshuddin","VK Sharma","7",,,,,
"69","Durban","Indian Premier League","2009/04/25","male","D Govindjee","2009","Deccan Chargers","Mumbai Indians","bat","Deccan Chargers","SJA Taufel","Kingsmead","PP Ojha","SD Ranade","Deccan Chargers","12","HDPK Dharmasena","ZTA Ndamane",,,"true",,,
"471","Mumbai","Indian Premier League","2015/05/01","male","RS Mahanama","2015","Mumbai Indians","Rajasthan Royals","field","Rajasthan Royals","HDPK Dharmasena","Wankhede Stadium","AT Rayudu","CB Gaffaney","Mumbai Indians","32","CK Nandan","Nitin Menon",,"8",,,,
"517","Rajkot","Indian Premier League","2016/04/24","male","S Chaturvedi","2016","Gujarat Lions","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","K Bharatan","Saurashtra Cricket Association Stadium","V Kohli","KN Ananthapadmanabhan","Gujarat Lions","19","BNJ Oxenford","A Deshmukh","6",,,,,
"314","Jaipur","Indian Premier League","2012/05/20","male","Raju Mukherjee","2012","Rajasthan Royals","Mumbai Indians","bat","Rajasthan Royals","HDPK Dharmasena","Sawai Mansingh Stadium","DR Smith","BNJ Oxenford","Mumbai Indians","72","C Shamshuddin","K Bharatan","10",,,,,
"410","Bangalore","Indian Premier League","2014/05/09","male","AJ Pycroft","2014","Royal Challengers Bangalore","Kings XI Punjab","field","Royal Challengers Bangalore","S Ravi","M Chinnaswamy Stadium","Sandeep Sharma","K Srinivasan","Kings XI Punjab","31","K Srinath","KN Ananthapadmanabhan",,"32",,,,
"654","Bangalore","Indian Premier League","2017/04/16","male","Chinmay Sharma","2017","Royal Challengers Bangalore","Rising Pune Supergiant","field","Royal Challengers Bangalore","KN Ananthapadmanabhan","M Chinnaswamy Stadium","BA Stokes","AK Chaudhary","Rising Pune Supergiant","17","C Shamshuddin","R Pandit",,"27",,,,
"110","Durban","Indian Premier League","2009/05/20","male","D Govindjee","2009","Chennai Super Kings","Kings XI Punjab","bat","Chennai Super Kings","SJA Taufel","Kingsmead","M Muralitharan","SS Hazare","Chennai Super Kings","54","BG Jerling","EC Hendrikse",,,"true",,,
"8","Chennai","Indian Premier League","2008/04/23","male","FM Engineer","2007/08","Chennai Super Kings","Mumbai Indians","field","Mumbai Indians","DJ Harper","MA Chidambaram Stadium","ML Hayden","BF Bowden","Chennai Super Kings","8","GA Pratapkumar","S Ravi",,"6",,,,
"288","Pune","Indian Premier League","2012/05/03","male","AJ Pycroft","2012","Pune Warriors","Mumbai Indians","bat","Mumbai Indians","Asad Rauf","Subrata Roy Sahara Stadium","SL Malinga","BR Doctrove","Mumbai Indians","45","S Asnani","NA Patwardhan",,"1",,,,
"373","Delhi","Indian Premier League","2013/05/10","male","RS Madugalle","2013","Delhi Daredevils","Royal Challengers Bangalore","field","Delhi Daredevils","NJ Llong","Feroz Shah Kotla","JD Unadkat","VA Kulkarni","Royal Challengers Bangalore","57","K Srinath","K Bharatan",,"4",,,,
"461","Delhi","Indian Premier League","2015/04/23","male","GF Labrooy","2015","Delhi Daredevils","Mumbai Indians","field","Mumbai Indians","SD Fry","Feroz Shah Kotla","SS Iyer","CB Gaffaney","Delhi Daredevils","21","CK Nandan","Nitin Menon",,"37",,,,
"229","Indore","Indian Premier League","2011/05/13","male","Raju Mukherjee","2011","Kochi Tuskers Kerala","Kings XI Punjab","field","Kings XI Punjab","S Asnani","Holkar Cricket Stadium","KD Karthik","PR Reiffel","Kings XI Punjab","57","RJ Tucker","NA Patwardhan","6",,,,,
"467","Kolkata","Indian Premier League","2015/05/07","male","RS Mahanama","2015","Kolkata Knight Riders","Delhi Daredevils","bat","Kolkata Knight Riders","AK Chaudhary","Eden Gardens","PP Chawla","K Srinivasan","Kolkata Knight Riders","42","M Erasmus","A Nand Kishore",,"13",,,,
"62","Cape Town","Indian Premier League","2009/04/19","male","Yashpal Sharma","2009","Deccan Chargers","Kolkata Knight Riders","bat","Kolkata Knight Riders","BR Doctrove","Newlands","RP Singh","SD Ranade","Deccan Chargers","4","MR Benson","MW Brown",,,"true",,,
"226","Chandigarh","Indian Premier League","2011/05/10","male","D Govindjee","2011","Kings XI Punjab","Mumbai Indians","field","Mumbai Indians","SK Tarapore","Punjab Cricket Association Stadium","BA Bhatt",,"Kings XI Punjab","54","RJ Tucker","K Bharatan",,"76",,"0.1",,
"197","Kolkata","Indian Premier League","2011/04/22","male","AJ Pycroft","2011","Kolkata Knight Riders","Royal Challengers Bangalore","field","Royal Challengers Bangalore","SS Hazare","Eden Gardens","CH Gayle","Aleem Dar","Royal Challengers Bangalore","24","RB Tiffin","S Das","9",,,,,
"244","Mumbai","Indian Premier League","2011/05/25","male","RS Mahanama","2011","Mumbai Indians","Kolkata Knight Riders","field","Mumbai Indians","SJA Taufel","Wankhede Stadium","MM Patel","PR Reiffel","Mumbai Indians",,,,"4",,,"0.1","VN Kulkarni",
"230","Bangalore","Indian Premier League","2011/05/14","male","AJ Pycroft","2011","Royal Challengers Bangalore","Kolkata Knight Riders","field","Royal Challengers Bangalore","RE Koertzen","M Chinnaswamy Stadium","CH Gayle","SS Hazare","Royal Challengers Bangalore","58","RB Tiffin","CK Nandan","4",,,,,
"476","Chennai","Indian Premier League","2015/05/04","male","J Srinath","2015","Chennai Super Kings","Royal Challengers Bangalore","bat","Chennai Super Kings","C Shamshuddin","MA Chidambaram Stadium","SK Raina","JD Cloete","Chennai Super Kings","37","K Srinath","PG Pathak",,"24",,,,
"54","Jaipur","Indian Premier League","2008/05/26","male","CH Lloyd","2007/08","Rajasthan Royals","Mumbai Indians","field","Rajasthan Royals","BF Bowden","Sawai Mansingh Stadium","Sohail Tanvir","SL Shastri","Rajasthan Royals","53","K Hariharan","MSS Ranawat","5",,,,,
"343","Delhi","Indian Premier League","2013/04/21","male","RS Mahanama","2013","Delhi Daredevils","Mumbai Indians","bat","Mumbai Indians","HDPK Dharmasena","Feroz Shah Kotla","V Sehwag","CK Nandan","Delhi Daredevils","28","S Ravi","K Bharatan","9",,,,,
"442","Pune","Indian Premier League","2015/04/10","male","GF Labrooy","2015","Kings XI Punjab","Rajasthan Royals","field","Kings XI Punjab","SD Fry","Maharashtra Cricket Association Stadium","JP Faulkner","K Srinath","Rajasthan Royals","3","CB Gaffaney","CK Nandan",,"26",,,,
"287","Bangalore","Indian Premier League","2012/05/02","male","RS Mahanama","2012","Royal Challengers Bangalore","Kings XI Punjab","field","Kings XI Punjab","BF Bowden","M Chinnaswamy Stadium","Azhar Mahmood","SK Tarapore","Kings XI Punjab","44","C Shamshuddin","CK Nandan","4",,,,,
"593","Chandigarh","Indian Premier League","2017/04/30","male","S Chaturvedi","2017","Kings XI Punjab","Delhi Daredevils","field","Kings XI Punjab","YC Barde","Punjab Cricket Association IS Bindra Stadium","Sandeep Sharma","Nitin Menon","Kings XI Punjab","36","CK Nandan","K Srinivasan","10",,,,,
"468","Bangalore","Indian Premier League","2015/04/29","male","RS Madugalle","2015","Royal Challengers Bangalore","Rajasthan Royals","field","Rajasthan Royals","PG Pathak","M Chinnaswamy Stadium",,"C Shamshuddin",,"29",,,,,,"0.2","VK Sharma","no result"
"241","Bangalore","Indian Premier League","2011/05/22","male","RS Mahanama","2011","Royal Challengers Bangalore","Chennai Super Kings","field","Royal Challengers Bangalore","K Hariharan","M Chinnaswamy Stadium","CH Gayle","HDPK Dharmasena","Royal Challengers Bangalore","69","RE Koertzen","CK Nandan","8",,,,,
"339","Delhi","Indian Premier League","2013/04/18","male","RS Madugalle","2013","Delhi Daredevils","Chennai Super Kings","bat","Chennai Super Kings","M Erasmus","Feroz Shah Kotla","MEK Hussey","K Srinath","Chennai Super Kings","24","VA Kulkarni","K Bharatan",,"86",,,,
"527","Pune","Indian Premier League","2016/05/01","male","RS Madugalle","2016","Rising Pune Supergiants","Mumbai Indians","field","Mumbai Indians","AY Dandekar","Maharashtra Cricket Association Stadium","RG Sharma","Nitin Menon","Mumbai Indians","29","RJ Tucker","Navdeep Singh","8",,,,,
"329","Delhi","Indian Premier League","2013/04/12","male","AJ Pycroft","2013","Delhi Daredevils","Sunrisers Hyderabad","bat","Delhi Daredevils","Aleem Dar","Feroz Shah Kotla","A Mishra","C Shamshuddin","Sunrisers Hyderabad","14","Subroto Das","K Bharatan","3",,,,,
